1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis
PWY-5717	superpathway of formononetin derivative biosynthesis
PWY-5723	Rubisco shunt
PWY-5725	farnesene biosynthesis
PWY-5729	vestitol and sativan biosynthesis
PWY-5733	germacrene biosynthesis
PWY-5748	&gamma;-coniciene and coniine biosynthesis
PWY-5749	itaconate degradation
PWY-5750	itaconate biosynthesis
PWY-5751	phenylethanol biosynthesis
PWY-5752	piperine biosynthesis
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)
PWY-5756	saponin biosynthesis II
PWY-5759	saponin biosynthesis III
PWY-5760	&beta;-alanine biosynthesis IV
PWY-5765	1,3,5-trimethoxybenzene biosynthesis
PWY-5766	L-glutamate degradation X
PWY-5768	pyruvate fermentation to acetate VIII
PWY-5773	gossypol biosynthesis
PWY-5774	saponin biosynthesis IV
PWY-5775	rotenoid biosynthesis I
PWY-5780	hypericin biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-5784	indole-3-acetate conjugate biosynthesis II
PWY-5787	oligomeric urushiol biosynthesis
PWY-5788	indole-3-acetate degradation V
PWY-5793	maysin biosynthesis
PWY-5795	juglone biosynthesis
PWY-5797	indole-3-acetate degradation VI
PWY-5800	xylan biosynthesis
PWY-5801	lawsone biosynthesis
PWY-5802	alizarin biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis
PWY-5807	heptaprenyl diphosphate biosynthesis
PWY-5808	hyperforin and adhyperforin biosynthesis
PWY-581	indole-3-acetate biosynthesis II
PWY-5811	indole-3-acetate degradation VII
PWY-5813	bornyl diphosphate biosynthesis
PWY-5815	rubber biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis
PWY-5821	dalcochinin biosynthesis
PWY-5822	trichloroethylene degradation
PWY-5825	dalpatein and dalnigrein biosynthesis
PWY-5826	hypoglycin biosynthesis
PWY-5827	heliocides biosynthesis
PWY-5828	lacinilene C biosynthesis
PWY-5829	geraniol and geranial biosynthesis
PWY-5835	geranyl acetate biosynthesis
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I
PWY-5843	cocaine biosynthesis
PWY-5846	colchicine biosynthesis
PWY-5848	cinchona alkaloids biosynthesis
PWY-5859	eugenol and isoeugenol biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis
PWY-5864	superpathway of plastoquinol biosynthesis
PWY-5867	t-anethole biosynthesis
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)
PWY-5874	heme degradation
PWY-5876	magnoflorine biosynthesis
PWY-5877	beta-carboline biosynthesis
PWY-5882	epoxypseudoisoeugenol-2-methylbutanoate biosynthesis
PWY-5883	ephedrine biosynthesis
PWY-5884	wax esters biosynthesis I
PWY-5885	wax esters biosynthesis II
PWY-5886	4-hydroxyphenylpyruvate biosynthesis
PWY-5888	rhodoquinone-10 biosynthesis
PWY-5889	rhodoquinone-9 biosynthesis
PWY-5905	hypusine biosynthesis
PWY-5907	homospermidine biosynthesis
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-5918	superpathay of heme biosynthesis from glutamate
PWY-5920	superpathway of heme biosynthesis from glycine
PWY-5921	glutaminyl-tRNAgln biosynthesis via transamidation
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-5926	afrormosin conjugates interconversion
PWY-5928	(4R)-carvone biosynthesis
PWY-5934	iron reduction and absorption
PWY-5936	xyloglucan biosynthesis
PWY-5938	(R)-acetoin biosynthesis I
PWY-5941	glycogen degradation II (eukaryotic)
PWY-5942	trans-lycopene biosynthesis I (bacteria)
PWY-5943	&beta;-carotene biosynthesis
PWY-5944	zeaxanthin biosynthesis
PWY-5945	zeaxanthin, antheraxanthin and violaxanthin interconversion
PWY-5946	&delta;-carotene biosynthesis
PWY-5947	lutein biosynthesis
PWY-5950	geosmin biosynthesis
PWY-5951	(R,R)-butanediol biosynthesis
PWY-5954	(1'S,5'S)-averufin biosynthesis
PWY-5955	versicolorin B biosynthesis
PWY-5956	sterigmatocystin biosynthesis
PWY-5957	L-nicotianamine biosynthesis
PWY-5958	acridone alkaloid biosynthesis
PWY-5959	aflatoxins B1 and G1 biosynthesis
PWY-5960	aflatoxins B2 and G2 biosynthesis
PWY-5961	superpathway of aflatoxin biosynthesis
PWY-5963	thio-molybdenum cofactor biosynthesis
PWY-5966	fatty acid biosynthesis initiation II
PWY-5967	lupinate biosynthesis
PWY-5968	cinnamate esters biosynthesis
PWY-5970	fatty acids biosynthesis (yeast)
PWY-5971	palmitate biosynthesis II (bacteria and plants)
PWY-5972	stearate biosynthesis I (animals and fungi)
PWY-5973	cis-vaccenate biosynthesis
PWY-5975	furaneol biosynthesis
PWY-5976	dhurrin degradation
PWY-5980	xylogalacturonan biosynthesis
PWY-5987	sorgoleone biosynthesis
PWY-5989	stearate biosynthesis II (bacteria and plants)
PWY-5990	lotaustralin biosynthesis
PWY-5991	superpathway of linamarin and lotaustralin biosynthesis
PWY-5992	thalianol and derivatives biosynthesis
PWY-5994	palmitate biosynthesis I (animals and fungi)
PWY-5995	linoleate biosynthesis I (plants)
PWY-5996	oleate biosynthesis II (animals and fungi)
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)
PWY-5998	&gamma;-linolenate biosynthesis I (plants)
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)
PWY-6000	&gamma;-linolenate biosynthesis II (animals)
PWY-6001	linoleate biosynthesis II (animals)
PWY-6002	lotaustralin degradation
PWY-6005	marneral biosynthesis
PWY-6007	arabidiol biosynthesis
PWY-6008	baruol biosynthesis
PWY-601	glucosinolate biosynthesis from tryptophan
PWY-6010	apigenin glycosides biosynthesis
PWY-6011	amygdalin and prunasin degradation
PWY-6012-1	acyl carrier protein metabolism II (mammalian)
PWY-6013	crepenynate biosynthesis
PWY-6014	vernolate biosynthesis I
PWY-6015	vitexin and derivatives biosynthesis
PWY-6019	pseudouridine degradation
PWY-6021	nitrilotriacetate degradation
PWY-6024	isovitexin and isovitexin glycosides biosynthesis
PWY-6027	capsiconiate biosynthesis
PWY-6029	2,3-trans-flavanols biosynthesis
PWY-6030	serotonin and melatonin biosynthesis
PWY-6032	cardenolide biosynthesis
PWY-6035	2,3-cis-flavanols biosynthesis
PWY-6036	cardenolide glucosides biosynthesis
PWY-6039	chlorogenic acid biosynthesis I
PWY-6040	chlorogenic acid biosynthesis II
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-6049	superpathway of dimethylsulfoniopropanoate degradation
PWY-6050	dimethyl sulfoxide degradation
PWY-6051	2,4,6-trinitrotoluene degradation
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)
PWY-6061	bile acid biosynthesis, neutral pathway
PWY-6064	methylquercetin biosynthesis
PWY-6068	indican biosynthesis
PWY-6069	indigo biosynthesis
PWY-6073	alginate biosynthesis I (algal)
PWY-6074	zymosterol biosynthesis
PWY-6075	ergosterol biosynthesis I
PWY-6076	vitamin D3 biosynthesis
PWY-6095	dammara-20,24-diene biosynthesis
PWY-6098	diploterol and cycloartenol biosynthesis
PWY-6100	L-carnitine biosynthesis
PWY-6105	botryococcenes and methylated squalene biosynthesis
PWY-6109	mangrove triterpenoid biosynthesis
PWY-6111	mitochondrial L-carnitine shuttle
PWY-6115	avenacin biosynthesis, initial reactions
PWY-6117	spermine and spermidine degradation I
PWY-6118	glycerol-3-phosphate shuttle
PWY-6120	L-tyrosine biosynthesis III
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6124	inosine-5'-phosphate biosynthesis II
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-6128	cis-calamenene related sesquiterpenoids biosynthesis
PWY-6129	dolichol and dolichyl phosphate biosynthesis
PWY-6131	glycerol degradation II
PWY-6132	lanosterol biosynthesis
PWY-6133	(S)-reticuline biosynthesis II
PWY-6134	L-tyrosine biosynthesis IV
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis
PWY-6144	CMP-N-glycoloylneuraminate biosynthesis
PWY-6145	superpathway of sialic acids and CMP-sialic acids biosynthesis
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6158	creatine-phosphate biosynthesis
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-6164	3-dehydroquinate biosynthesis I
PWY-6168	flavin biosynthesis III (fungi)
PWY-6173	histamine biosynthesis
PWY-6176	superpathway of Allium flavor precursors
PWY-6181	histamine degradation
PWY-6183	salicylate degradation I
PWY-6185	4-methylcatechol degradation (ortho cleavage)
PWY-6196	D-serine metabolism
PWY-6197	chlorinated phenols degradation
PWY-6199	quercetin sulfate biosynthesis
PWY-621	sucrose degradation III (sucrose invertase)
PWY-6219	indole-3-acetyl-amide conjugate biosynthesis
PWY-622	starch biosynthesis
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I
PWY-6232	chrysoeriol biosynthesis
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis
PWY-6239	luteolin glycosides biosynthesis
PWY-6241	thyroid hormone biosynthesis
PWY-6243	bergamotene biosynthesis I
PWY-6244	bergamotene biosynthesis II
PWY-6254	santalene biosynthesis I
PWY-6257	curcumene biosynthesis
PWY-6258	patchoulol biosynthesis
PWY-6260	thyroid hormone metabolism I (via deiodination)
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)
PWY-6265	zerumbone biosynthesis
PWY-6266	superpathway of flavones and derivatives biosynthesis
PWY-6270	isoprene biosynthesis I
PWY-6271	eudesmol biosynthesis
PWY-6273	phosphatidylethanolamine biosynthesis III
PWY-6275	&beta;-caryophyllene biosynthesis
PWY-6278	botrydial biosynthesis
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-6290	&beta;-cubebene biosynthesis
PWY-6291	valencene and 7-epi-&alpha;-selinene biosynthesis
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)
PWY-6293	L-cysteine biosynthesis IV (fungi)
PWY-6294	selinene biosynthesis
PWY-6297	tuberonate glucoside biosynthesis
PWY-63	UDP-L-arabinose biosynthesis I (from UDP-xylose)
PWY-6302	dihydroconiferyl alcohol biosynthesis
PWY-6303	methyl indole-3-acetate interconversion
PWY-6304	casbene biosynthesis
PWY-6305	putrescine biosynthesis IV
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-6310	aloesone biosynthesis II
PWY-6312	barbaloin biosynthesis
PWY-6313	serotonin degradation
PWY-6314	plumbagin biosynthesis
PWY-6316	aromatic polyketides biosynthesis
PWY-6317	galactose degradation I (Leloir pathway)
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-6320	phaselate biosynthesis
PWY-6323	benzoylanthranilate biosynthesis
PWY-6325	echinatin biosynthesis
PWY-6326	camptothecin biosynthesis
PWY-6330	acetaldehyde biosynthesis II
PWY-6332	coumestrol biosynthesis
PWY-6333	acetaldehyde biosynthesis I
PWY-6334	L-dopa degradation
PWY-6337	dehydroscoulerine biosynthesis
PWY-6341	guaiacylglycerol-&beta;-guaiacyl ether degradation
PWY-6342	noradrenaline and adrenaline degradation
PWY-6348	phosphate acquisition
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-6352	3-phosphoinositide biosynthesis
PWY-6353	purine nucleotides degradation II (aerobic)
PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
PWY-6367	D-myo-inositol-5-phosphate metabolism
PWY-6368	3-phosphoinositide degradation
PWY-6369	inositol pyrophosphates biosynthesis
PWY-6370	ascorbate recycling (cytosolic)
PWY-6371	superpathway of inositol phosphate compounds
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)
PWY-6377	&alpha;-tocopherol degradation
PWY-6388	(S,S)-butanediol degradation
PWY-6389	(S)-acetoin biosynthesis
PWY-6392	meso-butanediol biosynthesis II
PWY-6395	superpathway of seleno-compound metabolism
PWY-6396	superpathway of 2,3-butanediol biosynthesis
PWY-6398	melatonin degradation I
PWY-6399	melatonin degradation II
PWY-6400	melatonin degradation III
PWY-6401	hispidol and hispidol 4'-O-&beta;-D-glucoside biosynthesis
PWY-6402	superpathway of melatonin degradation
PWY-6403	carrageenan biosynthesis
PWY-6405	Rapoport-Luebering glycolytic shunt
PWY-6406	salicylate biosynthesis I
PWY-641	proanthocyanidin biosynthesis from flavanols
PWY-6411	ginsenoside degradation I
PWY-6412	ginsenoside degradation II
PWY-6413	ginsenoside degradation III
PWY-6415	L-ascorbate biosynthesis V
PWY-6416	quinate degradation II
PWY-6418	4-hydroxycoumarin and dicoumarol biosynthesis
PWY-6423	hemoglobin degradation
PWY-6425	rotenoid biosynthesis II
PWY-6427	rot-2'-enonate biosynthesis
PWY-6430	thymine degradation
PWY-6431	4-hydroxybenzoate biosynthesis IV
PWY-6432	curcuminoid biosynthesis
PWY-6433	hydroxylated fatty acid biosynthesis (plants)
PWY-6435	4-hydroxybenzoate biosynthesis V
PWY-6436	perillyl aldehyde biosynthesis
PWY-6437	fenchol biosynthesis I
PWY-6438	phenylphenalenone biosynthesis
PWY-6440	spermine and spermidine degradation II
PWY-6441	spermine and spermidine degradation III
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)
PWY-6445	fenchol biosynthesis II
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)
PWY-6447	trichome monoterpenes biosynthesis
PWY-6448	hordatine biosynthesis
PWY-6449	fenchone biosynthesis
PWY-6451	3-carene biosynthesis
PWY-6453	stigma estolide biosynthesis
PWY-6456	serinol biosynthesis
PWY-6457	trans-cinnamoyl-CoA biosynthesis
PWY-6458	benzoyl-CoA biosynthesis
PWY-6464	polyvinyl alcohol degradation
PWY-6466	pyridoxal 5'-phosphate biosynthesis II
PWY-6473	4-aminobutanoate degradation IV
PWY-6475	trans-lycopene biosynthesis II (plants)
PWY-6477	gibberellin inactivation II (methylation)
PWY-6481	L-dopachrome biosynthesis
PWY-6483	ceramide degradation
PWY-6491	D-galacturonate degradation III
PWY-6493	chanoclavine I aldehyde biosynthesis
PWY-6494	gibberellin inactivation III (epoxidation)
PWY-6495	ergotamine biosynthesis
PWY-6498	eumelanin biosynthesis
PWY-6502	oxidized GTP and dGTP detoxification
PWY-6503	superpathway of ergotamine biosynthesis
PWY-6504	anthranilate degradation IV (aerobic)
PWY-6515	phloridzin biosynthesis
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation
PWY-6517	N-acetylglucosamine degradation II
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-6524	lychnose and isolychnose biosynthesis
PWY-6525	stellariose and mediose biosynthesis
PWY-6527	stachyose degradation
PWY-6531	mannitol cycle
PWY-6535	4-aminobutanoate degradation I
PWY-6536	4-aminobutanoate degradation III
PWY-6537	4-aminobutanoate degradation II
PWY-6539	(Z)-phenylmethanethial S-oxide biosynthesis
PWY-6540	costunolide biosynthesis
PWY-6543	4-aminobenzoate biosynthesis
PWY-6544	superpathway of C28 brassinosteroid biosynthesis
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-6546	brassinosteroids inactivation
PWY-6549	L-glutamine biosynthesis III
PWY-6552	caffeine degradation I (main, plants)
PWY-6553	caffeine degradation II
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6555	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)
PWY-6556	pyrimidine ribonucleosides salvage II
PWY-6557	glycoaminoglycan-protein linkage region biosynthesis
PWY-6558	heparan sulfate biosynthesis (late stages)
PWY-6564	heparan sulfate biosynthesis
PWY-6566	chondroitin biosynthesis
PWY-6567	chondroitin sulfate biosynthesis (late stages)
PWY-6568	dermatan sulfate biosynthesis (late stages)
PWY-6569	chondroitin sulfate biosynthesis
PWY-6571	dermatan sulfate biosynthesis
PWY-6573	chondroitin sulfate degradation (metazoa)
PWY-6575	juvenile hormone III biosynthesis I
PWY-6576	dermatan sulfate degradation (metazoa)
PWY-6577	farnesylcysteine salvage pathway
PWY-6585	2-methylketone biosynthesis
PWY-6591	manganese oxidation I
PWY-6595	superpathway of guanosine nucleotides degradation (plants)
PWY-6596	adenosine nucleotides degradation I
PWY-6598	sciadonate biosynthesis
PWY-6599	guanine and guanosine salvage II
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6602	C-glycosylflavone biosynthesis I
PWY-6603	dicranin biosynthesis
PWY-6605	adenine and adenosine salvage II
PWY-6606	guanosine nucleotides degradation II
PWY-6607	guanosine nucleotides degradation I
PWY-6608	guanosine nucleotides degradation III
PWY-6609	adenine and adenosine salvage III
PWY-6610	adenine and adenosine salvage IV
PWY-6612	superpathway of tetrahydrofolate biosynthesis
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-6614	tetrahydrofolate biosynthesis
PWY-6618	guanine and guanosine salvage III
PWY-6619	adenine and adenosine salvage VI
PWY-6620	guanine and guanosine salvage
PWY-6621	salicylate glucosides biosynthesis I
PWY-6622	heptadecane biosynthesis
PWY-6623	salicylate glucosides biosynthesis II
PWY-6624	salicylate glucosides biosynthesis III
PWY-6631	O -methylation of tricetin
PWY-6636	salicylate degradation III
PWY-6644	fluoroacetate and fluorothreonine biosynthesis
PWY-6645	labdane-type diterpenes biosynthesis
PWY-6646	fluoroacetate degradation
PWY-6650	juvenile hormone III biosynthesis II
PWY-6653	ent -kaurene biosynthesis II
PWY-6659	fusicoccin A biosynthesis
PWY-6665	pterostilbene biosynthesis
PWY-6667	resveratrol degradation
PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis
PWY-6669	&delta;-guaiene biosynthesis
PWY-6673	caffeoylglucarate biosynthesis
PWY-6678	geraniol and nerol degradation
PWY-6681	neurosporaxanthin biosynthesis
PWY-6684	glucosinolate breakdown (via thiocyanate-forming protein)
PWY-6688	thyronamine and iodothyronamine metabolism
PWY-6689	tRNA splicing
PWY-6691	plaunotol biosynthesis
PWY-6693	galactose degradation IV
PWY-6697	oxalate degradation IV
PWY-6698	oxalate degradation V
PWY-6699	oxalate biosynthesis
PWY-6704	L-ascorbate degradation IV
PWY-6707	gallate biosynthesis
PWY-6710	poly-hydroxy fatty acids biosynthesis
PWY-6713	L-rhamnose degradation II
PWY-6717	(1,4)-&beta;-xylan degradation
PWY-6724	starch degradation II
PWY-6730	methylhalides biosynthesis (plants)
PWY-6733	sporopollenin precursors biosynthesis
PWY-6736	sulfur volatiles biosynthesis
PWY-6738	pinitol biosynthesis I
PWY-6739	pinitol biosynthesis II
PWY-6745	phytochelatins biosynthesis
PWY-6752	o-diquinones biosynthesis
PWY-6753	S-methyl-5'-thioadenosine degradation III
PWY-6754	S-methyl-5'-thioadenosine degradation I
PWY-6756	S-methyl-5'-thioadenosine degradation II
PWY-6762	salicylate glucosides biosynthesis IV
PWY-6763	salicortin biosynthesis
PWY-6766	salicin biosynthesis
PWY-6769	rhamnogalacturonan type I degradation I (fungi)
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-6773	callose biosynthesis
PWY-6778	laminaribiose degradation
PWY-6781	chlorogenic acid degradation
PWY-6785	hydrogen production VIII
PWY-6786	detoxification of reactive carbonyls in chloroplasts
PWY-6787	flavonoid biosynthesis (in equisetum)
PWY-6788	cellulose degradation II (fungi)
PWY-6789	(1,3)-&beta;-D-xylan degradation
PWY-6790	L-arabinan degradation
PWY-6791	xyloglucan degradation I (endoglucanase)
PWY-6792	scopoletin biosynthesis
PWY-6794	adenosine 5'-phosphoramidate biosynthesis
PWY-6795	diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis
PWY-6799	fatty acid biosynthesis (plant mitochondria)
PWY-6801	volatile esters biosynthesis (during fruit ripening)
PWY-6802	salidroside biosynthesis
PWY-6803	phosphatidylcholine acyl editing
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-6806	carotenoid cleavage
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-6809	neoxanthin biosynthesis
PWY-6812	xyloglucan degradation III (cellobiohydrolase)
PWY-6820	diphyllin biosynthesis
PWY-6823	molybdenum cofactor biosynthesis
PWY-6824	justicidin B biosynthesis
PWY-6825	phosphatidylcholine biosynthesis V
PWY-6829	tRNA methylation (yeast)
PWY-6835	6-gingerol biosynthesis
PWY-6836	santalene biosynthesis II
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-6840	homoglutathione biosynthesis
PWY-6841	homophytochelatin biosynthesis
PWY-6842	glutathione-mediated detoxification II
PWY-6845	nitric oxide biosynthesis (plants)
PWY-6848	rutin degradation
PWY-6852	senecionine N-oxide biosynthesis
PWY-6853	ethylene biosynthesis II (microbes)
PWY-6854	ethylene biosynthesis III (microbes)
PWY-6857	retinol biosynthesis
PWY-6859	all-trans-farnesol biosynthesis
PWY-6861	the visual cycle I (vertebrates)
PWY-6863	pyruvate fermentation to hexanol
PWY-6871	3-methylbutanol biosynthesis
PWY-6872	retinoate biosynthesis I
PWY-6875	retinoate biosynthesis II
PWY-6883	pyruvate fermentation to butanol II
PWY-6886	1-butanol autotrophic biosynthesis
PWY-6887	kauralexin biosynthesis
PWY-6888	zealexin biosynthesis
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6898	thiamin salvage III
PWY-6899	base-degraded thiamin salvage
PWY-6900	(Z)-butanethial-S-oxide biosynthesis
PWY-6902	chitin degradation II
PWY-6908	thiamin diphosphate biosynthesis IV (eukaryotes)
PWY-6909	thiazole biosynthesis III (eukaryotes)
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6913	methylbutenol biosynthesis
PWY-6914	sophoraflavanone G biosynthesis
PWY-6917	vernolate biosynthesis III
PWY-6922	L-N&delta;-acetylornithine biosynthesis
PWY-6923	ricinine degradation
PWY-6926	pyrethrin I biosynthesis
PWY-6927	chlorophyll a degradation II
PWY-6930	phenolic malonylglucosides biosynthesis
PWY-6931	seleno-amino acid detoxification and volatilization I
PWY-6932	selenate reduction
PWY-6933	seleno-amino acid detoxification and volatilization III
PWY-6935	seleno-amino acid detoxification and volatilization II
PWY-6936	seleno-amino acid biosynthesis
PWY-6938	NADH repair
PWY-6940	icosapentaenoate biosynthesis III (fungi)
PWY-6949	DIBOA-glucoside biosynthesis
PWY-695	abscisic acid biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis
PWY-6958	icosapentaenoate biosynthesis I (lower eukaryotes)
PWY-6959	L-ascorbate degradation V
PWY-6960	L-ascorbate degradation III
PWY-6963	ammonia assimilation cycle I
PWY-6964	ammonia assimilation cycle II
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
PWY-6970	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)
PWY-6981	chitin biosynthesis
PWY-6982	umbelliferone biosynthesis
PWY-699	brassinosteroid biosynthesis I
PWY-6990	(+)-camphor biosynthesis
PWY-6991	(-)-camphor biosynthesis
PWY-6997	furfural degradation
PWY-7007	methyl ketone biosynthesis
PWY-701	L-methionine degradation II
PWY-702	L-methionine biosynthesis II
PWY-7026	terminal olefins biosynthesis I
PWY-7029	terminal olefins biosynthesis II
PWY-7033	alkane biosynthesis II
PWY-7035	(Z)-9-tricosene biosynthesis
PWY-7036	very long chain fatty acid biosynthesis II
PWY-7039	phosphatidate metabolism, as a signaling molecule
PWY-7041	the visual cycle II (molluscs)
PWY-7042	the visual cycle (insects)
PWY-7043	11-cis-3-hydroxyretinal biosynthesis
PWY-7049	icosapentaenoate biosynthesis II (metazoa)
PWY-7050	icosapentaenoate biosynthesis IV (bacteria)
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)
PWY-7055	daphnetin modification
PWY-7056	daphnin interconversion
PWY-7057	cichoriin interconversion
PWY-7058	esculetin modification
PWY-7059	fumigaclavine biosynthesis
PWY-7064	3-amino-3-phenylpropanoyl-CoA biosynthesis
PWY-7065	2&alpha;,7&beta;-dihydroxylation of taxusin
PWY-7066	glycyrrhetinate biosynthesis
PWY-7067	betulinate biosynthesis
PWY-7068	ursolate biosynthesis
PWY-7069	oleanolate biosynthesis
PWY-7070	steviol biosynthesis
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-7074	phenylethanol glycoconjugate biosynthesis
PWY-7075	phenylethyl acetate biosynthesis
PWY-7076	3,5-dimethoxytoluene biosynthesis
PWY-7079	geodin biosynthesis
PWY-7080	asterrate biosynthesis
PWY-7088	taxiphyllin biosynthesis
PWY-7089	taxiphyllin bioactivation
PWY-7091	linustatin bioactivation
PWY-7092	neolinustatin bioactivation
PWY-7093	vicianin bioactivation
PWY-7095	3,4-dihydroxymandelonitrile &beta;-D-glucose biosynthesis
PWY-7101	5-deoxystrigol biosynthesis
PWY-7102	bisabolene biosynthesis
PWY-7105	olivetol biosynthesis (olivetol synthase by-products synthesis)
PWY-7111	pyruvate fermentation to isobutanol (engineered)
PWY-7112	4-hydroxy-2-nonenal detoxification
PWY-7113	furcatin degradation
PWY-7114	tea aroma glycosidic precursor bioactivation
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type
PWY-7118	chitin degradation to ethanol
PWY-7119	sphingolipid recycling and degradation (yeast)
PWY-7120	esterified suberin biosynthesis
PWY-7124	ethylene biosynthesis V (engineered)
PWY-7126	ethylene biosynthesis IV
PWY-7129	quercetin glucoside biosynthesis (Allium)
PWY-7133	quercetin glucoside degradation (Allium)
PWY-7134	rutin degradation (plants)
PWY-7135	emetine biosynthesis
PWY-7137	quercetin gentiotetraside biosynthesis
PWY-7138	noscapine biosynthesis
PWY-7139	sesaminol glucoside biosynthesis
PWY-7140	myricetin gentiobioside biosynthesis
PWY-7141	linalool biosynthesis II
PWY-7142	cyanide detoxification II
PWY-7143	kaempferol gentiobioside biosynthesis
PWY-7145	genistin gentiobioside biosynthesis
PWY-7149	superpathway polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
PWY-7151	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
